underlying,cycle_year,cycle_month,entry_date,expiry_date,exit_date,dte_entry,dte_exit,spot_entry,spot_exit,short_strike,long_strike,width,net_credit,net_close_at_exit,pnl_per_share,pnl_contract,gross_pnl_contract,txn_cost_contract,buying_power,outcome,entry_delta,entry_iv,size_mult,exit_rule
NIFTY,2025,5,2025-04-22,2025-05-27,2025-05-27,35,0,24134.05,24826.2,23750.0,23650.0,100.0,15.200000000000003,0.0,15.200000000000003,931.2177868400003,988.0000000000002,56.78221316,8268.0,expired_worthless,-0.31662328368849724,15.894331,1.0,DTE2
NIFTY,2025,6,2025-05-20,2025-06-24,2025-06-24,35,0,24713.85,25044.35,24300.0,24200.0,100.0,17.700000000000003,0.0,17.700000000000003,1091.9438770400002,1150.5000000000002,58.556122959999996,4012.125,expired_worthless,-0.3163693582368333,16.506795,0.5,DTE2
NIFTY,2025,7,2025-06-24,2025-07-29,2025-07-28,35,1,25071.55,24821.1,24650.0,24550.0,100.0,3.8000000000000007,32.05,-28.249999999999996,-1940.1283649999998,-1836.2499999999998,103.878365,9379.5,managed,-0.32271854985593706,17.280839,1.0,DTE2
NIFTY,2025,8,2025-07-22,2025-08-26,2025-08-25,35,1,25064.9,24712.05,24800.0,24700.0,100.0,15.649999999999999,9.25,6.399999999999999,313.0525907399999,415.9999999999999,102.94740926,8224.125,managed,-0.29809426053348076,10.602095,1.0,DTE2
NIFTY,2025,9,2025-08-26,2025-09-30,2025-09-29,35,1,24710.7,24611.1,24450.0,24350.0,100.0,3.9000000000000004,2.75,1.1500000000000004,-21.522008059999962,74.75000000000003,96.27200805999999,9369.75,managed,-0.3011375712905672,10.78,1.0,DTE2
NIFTY,2025,10,2025-09-23,2025-10-28,2025-10-28,35,0,25184.9,25936.2,25000.0,24900.0,100.0,14.400000000000002,0.0,14.400000000000002,883.3689458000001,936.0000000000001,52.63105420000001,8346.0,expired_worthless,-0.30558943491996093,8.88,1.0,DTE2
NIFTY,2025,11,2025-10-21,2025-11-25,2025-11-24,35,1,25833.3,25884.8,25600.0,25500.0,100.0,14.75,0.8999999999999999,13.85,799.87004992,900.25,100.37995007999999,8311.875,managed,-0.2990577973720785,9.65,1.0,DTE2
NIFTY,2026,1,2025-12-23,2026-01-27,2026-01-27,35,0,26165.95,25175.4,25950.0,25850.0,100.0,13.95,100.0,-86.05,-5699.81614294,-5593.25,106.56614293999988,10067.85,max_loss,-0.28977023027045323,8.673366,1.2,DTE2
NIFTY,2026,2,2026-01-20,2026-02-24,2026-02-24,35,0,25225.35,25424.65,24850.0,24750.0,100.0,10.5,0.0,10.5,629.1623776,682.5,53.3376224,8726.25,expired_worthless,-0.29469197837244077,13.198932,1.0,DTE2
NIFTY,2026,3,2026-02-23,2026-03-30,2026-03-30,35,0,25704.0,22331.4,25300.0,25200.0,100.0,3.0,100.0,-97.0,-6587.193259539999,-6305.0,282.1932595399999,9457.5,max_loss,-0.35671292226692075,21.328596,1.0,DTE2
