underlying,cycle_year,cycle_month,entry_date,expiry_date,exit_date,dte_entry,dte_exit,spot_entry,spot_exit,short_strike,long_strike,width,net_credit,net_close_at_exit,pnl_per_share,pnl_contract,gross_pnl_contract,txn_cost_contract,buying_power,outcome,entry_delta,entry_iv,size_mult,variant,timing,v3_first_fire
NIFTY,2024,12,2024-11-22,2024-12-26,2024-12-26,34,0,23873.5,23750.2,23450.0,23350.0,100.0,14.450000000000003,0.0,14.450000000000003,883.6563591600002,939.2500000000002,55.59364084,8341.125,expired_worthless,-0.3233053849876759,18.223543,1.0,hte,first_fire,2024-11-22
NIFTY,2024,12,2024-11-25,2024-12-26,2024-12-26,31,0,24250.8,23750.2,23850.0,23750.0,100.0,6.800000000000001,99.79999999999927,-92.99999999999928,-6096.338339919953,-6044.999999999953,51.338339919999996,9087.0,partial_loss,-0.32998482140598384,18.428323,1.0,hte,plus_one_day,2024-11-22
NIFTY,2024,12,2024-11-25,2024-12-26,2024-12-26,31,0,24250.8,23750.2,23850.0,23750.0,100.0,6.800000000000001,99.79999999999927,-92.99999999999928,-6096.338339919953,-6044.999999999953,51.338339919999996,9087.0,partial_loss,-0.32998482140598384,18.428323,1.0,hte,worst_of_two,2024-11-22
NIFTY,2025,1,2025-01-06,2025-01-30,2025-01-30,24,0,23629.6,23249.5,23250.0,23150.0,100.0,25.69999999999999,0.5,25.19999999999999,1563.8997354399994,1637.9999999999993,74.10026456,7244.250000000002,partial_loss,-0.3112376585451684,16.96243,1.0,hte,first_fire,2025-01-06
NIFTY,2025,1,2025-01-07,2025-01-30,2025-01-30,23,0,23694.6,23249.5,23300.0,23200.0,100.0,25.599999999999994,50.5,-24.900000000000006,-1688.1754327200006,-1618.5000000000005,69.67543272,7254.0,partial_loss,-0.2933274335558844,15.888867,1.0,hte,plus_one_day,2025-01-06
NIFTY,2025,1,2025-01-07,2025-01-30,2025-01-30,23,0,23694.6,23249.5,23300.0,23200.0,100.0,25.599999999999994,50.5,-24.900000000000006,-1688.1754327200006,-1618.5000000000005,69.67543272,7254.0,partial_loss,-0.2933274335558844,15.888867,1.0,hte,worst_of_two,2025-01-06
NIFTY,2025,5,2025-04-24,2025-05-27,2025-05-27,33,0,24245.05,24826.2,23850.0,23750.0,100.0,15.799999999999997,0.0,15.799999999999997,969.8237864799997,1026.9999999999998,57.17621352,8209.5,expired_worthless,-0.33433170172473314,18.540103,1.0,hte,first_fire,2025-04-24
NIFTY,2025,5,2025-04-25,2025-05-27,2025-05-27,32,0,23991.65,24826.2,23600.0,23500.0,100.0,9.950000000000003,0.0,9.950000000000003,591.3559271000003,646.7500000000002,55.3940729,8779.875,expired_worthless,-0.3331092874703627,18.527113,1.0,hte,plus_one_day,2025-04-24
NIFTY,2025,5,2025-04-25,2025-05-27,2025-05-27,32,0,23991.65,24826.2,23600.0,23500.0,100.0,9.950000000000003,0.0,9.950000000000003,591.3559271000003,646.7500000000002,55.3940729,8779.875,expired_worthless,-0.3331092874703627,18.527113,1.0,hte,worst_of_two,2025-04-24
NIFTY,2025,11,2025-10-30,2025-11-25,2025-11-25,26,0,25891.2,25884.8,25600.0,25500.0,100.0,20.700000000000017,0.0,20.700000000000017,1279.441366180001,1345.5000000000011,66.05863382,7731.749999999998,expired_worthless,-0.2982253474079818,11.62,1.0,hte,first_fire,2025-10-30
NIFTY,2025,11,2025-10-31,2025-11-25,2025-11-25,25,0,25732.55,25884.8,25450.0,25350.0,100.0,22.89999999999999,0.0,22.89999999999999,1424.3628488599995,1488.4999999999995,64.13715114,7517.250000000002,expired_worthless,-0.29253809795944685,11.14,1.0,hte,plus_one_day,2025-10-30
NIFTY,2025,11,2025-10-30,2025-11-25,2025-11-25,26,0,25891.2,25884.8,25600.0,25500.0,100.0,20.700000000000017,0.0,20.700000000000017,1279.441366180001,1345.5000000000011,66.05863382,7731.749999999998,expired_worthless,-0.2982253474079818,11.62,1.0,hte,worst_of_two,2025-10-30
